Product Title,Price,% Off,Discount Code,Amazon_link,
VIDUSSA Womens Long Sleeve Shirts Casual Crew Neck Solid Tops Loose Pullover Sweatshirts Purple XL,$10.49,50%,50KEOFH9,https://www.amazon.com/promocode/A3UC4C031NICOC?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
American Flag Printed Shirts for Men USA Patriotic Freedom Tshirts Summer Casual Short Sleeve Tee Tops Black,$9.59,40%,40UKEZAW,https://www.amazon.com/promocode/A35FEUCR7K13GZ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
65L Travel Duffel Bag Foldable and Lightweight with Shoes Compartment,$12.14,55%,55QW7UKC,https://www.amazon.com/promocode/A2FA2NIZF0GL3P?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"JIUMUJIPU Women’s Walking Sneaker Slip-on Running Shoes – Lightweight Mesh-Comfortable Tennis Shoe (Light Green/White / 004-6, Numeric_6)",$13.59,66%,66U9LPZF,https://www.amazon.com/promocode/A2J9UCLTID9CRD?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Peel and Stick Wood Wallpaper Removable Distressed Wood Contact Paper Self-Adhesive Wallpaper Retro Wood Plank Wall Covering Decoration Kitchen Countertop Furniture DIY 17.71” x 118”,$3.14,55%,55DG3U47,https://www.amazon.com/promocode/AI18YYXHKO1TD?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Phone Umbrella Suction Cup Stand – Universal Adjustable Piggy Phone Stand Sun Visor , Sun Shade Cover, Sun Shield with Suction Cup Mount Phone Holder Anti-Refection Block Glare (Blue)",$8.99,50%,50TPRJRA,https://www.amazon.com/promocode/A39THBLOX046S8?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
TOCHANG Garden Tools Set -3 Piece Cast-Aluminum Heavy Duty Gardening Kit with Soft Rubberized Non-Slip Ergonomic Handle- Garden Gifts,$12.99,50%,50TAS3DS,https://www.amazon.com/promocode/AS1EENYWC3XDX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FOSUBOO Paint by Numbers Kits for Adults , DIY Paint by Numbers Custom Oil Painting for Beginner,Crafts Paint Arts for 14+ Year Old Drawing Beginner, Colorful Swan 18.5 x 22.5 inch",$5.39,55%,55XO7IJ4,https://www.amazon.com/promocode/A20UY1W8QXML0O?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Acrylic Paint Set, 26 Colors Acrylic Paint Kit Easy Squeeze Bottle Non Toxic No Fading Acrylic Paint Rich Pigment for Kids Adults Artists Canvas Crafts Wood Painting",$12.99,50%,50TFID5P,https://www.amazon.com/promocode/A2RUGBM7X1F4SB?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"CINBOS Luxury Blue Gift Box With Lid and Ribbon, for Wedding, Birthday, Graduation, Christmas, Wrapping Gifts, 6.5x 6.5x 2.5 Inches",$5.19,60%,60WWGH3S,https://www.amazon.com/promocode/A2UNUPV17B7IKC?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BRONAX House Slippers for Women Spring Winter Warm Indoor Bedroom Non-Slip Memory Foam Fur Lining Plush Home Shoes Flats Ladies Spa Cozy Red,$7.59,60%,6097SKTE,https://www.amazon.com/promocode/A33IYBBREQCGBU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"4-in-1 Kitchen Knife Sharpener 2021 Upgrade, OBERLY 4-Stage Knife and Scissors Sharpener with Diamond Abrasives Help Repair, Restore and Polish Dull Blades, Cut-Resistant Glove Included",$11.99,40%,40A9XFYE,https://www.amazon.com/promocode/A2GT8B7BEF3AU4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Geometric Wallpaper Modern Stripe Contact Paper Removable Peel and Stick Wallpaper Hexagon Self-Adhesive Wall Paper Decoration Bedroom DIY Furniture Renovation Waterproof Vinyl Decorative 17.7″x118″,$3.67,54%,544UQTEP,https://www.amazon.com/promocode/A11WLA2XCHN22B?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Bilingual ABC Learning Toys for Toddlers 1-3, Electronic Interactive Alphabet Poster, Talking 123s & Songs & Piano Keyboard, Speech Therapy Toys Age 2-4 Kids, Educational Toys for 1-5 Year Old Boys",$16.09,30%,30QSXLJ8,https://www.amazon.com/promocode/A3V6JF2EPRT2L7?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Weweya Women’s Fashion Waterproof Winter Snow Boots Winter Sneakers For Women Blue Size 8.5,$30.79,30%,30MBRXQ3,https://www.amazon.com/promocode/A2QJTXH23N0H8B?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Pleated Midi Skirt, Long Pleated Skirts for Women, Womens Pleated Skirt, Skirts for Women Midi Length, Midi Pleated Skirt Avocado Green XS",$7.49,75%,75896MK7,https://www.amazon.com/promocode/A3UD2E2BHV7XZL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Demilong Bean Bags for Toddlers,Montessori toys 12 Pack Educational Toys for Kids to Learn Shapes and Colors, Preschool Learning Montessori Activity, Fun for Travel or Tossing Game for Boys and Girls with Cotton Bag",$14.99,50%,50KESZEM,https://www.amazon.com/promocode/A2YC41WPSIBZYM?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FURID 40/0ff-M Minimalist Wallet for Men, Carbon Fiber Wallet, Mens Wallet Slim, RFID Blocking Front Pocket Wallets, Ultra thin Money Clip Wallet for Men Gift",$8.99,70%,7081IJ66,https://www.amazon.com/promocode/A1COJRIS5BVONH?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"ZTZ Custom Laser Engraved Collar Personalized Dog Collar for Medium Dogs, with Special Text for Dogs(XS, S, M, L, XL) (8-Color Leather Collar)",$3.24,75%,75AL465S,https://www.amazon.com/promocode/A8NRFQHQ5WC93?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
LJY 10 Pieces Blue Resin Pencil Finger Conch with Rope for Christmas Tree Hanging Ornaments Beach Theme Wedding Home Decor DIY Craft Project,$5.99,50%,50ZONUA4,https://www.amazon.com/promocode/A7RAO2CS82JFU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FITORY Girls Dress Shoes, Glitter Mary Jane Ballet Flats with Buckle Strap Bow for Toddler Black Size 10-11",$13.74,45%,45L9SQUL,https://www.amazon.com/promocode/A34IAOMYV8MWNL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Mixing Bowls with Lids for Kitchen – 26 PCS Stainless Steel Nesting Colorful Mixing Bowls Set for Baking,Mixing,Serving & Prepping,Size 7, 5.5, 5, 4, 3, 2, 1.5QT,12 Colorful Cooking Utensils",$29.69,45%,454ERA74,https://www.amazon.com/promocode/A1XX0GF5LQ0ZQA?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BomKinta Men’s Breathable Road Running Shoes Lace Up Gym Traning Sneakers Comfortable Non Slip Walking Shoes Athletic Shoes Zapatos Deportivos de Hombre Deep Gray Size 9.5,$23.99,40%,409G5D53,https://www.amazon.com/promocode/A1O3ZVW0CCYW6S?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
